,Unnamed: 0,source,target,fraction,source_description,target_description,contingency
0,0,AQ,AA,0.333333333333333,Aggravated question expression of disapproval by restating a question,Answer in the affirmative to yes/no question.,1
1,1,AQ,SA,0.333333333333333,Aggravated question expression of disapproval by restating a question,Answer a wh-question with a statement.,1
2,2,AQ,SI,0.333333333333333,Aggravated question expression of disapproval by restating a question,State intent to carry out act by speaker.,0
3,3,CM,AA,0.25,Commiserate express sympathy for hearer's distress.,Answer in the affirmative to yes/no question.,0
4,4,CM,PF,0.25,Commiserate express sympathy for hearer's distress.,Prohibit/forbid/protest hearer's performance of an act,0
5,5,CM,QN,0.25,Commiserate express sympathy for hearer's distress.,Ask a product-question (wh-question),1
6,6,CM,ST,0.25,Commiserate express sympathy for hearer's distress.,Make a declarative statement.,1
7,7,CT,AA,0.058823529411765,Correct provide correct verbal form in place of erroneous one.,Answer in the affirmative to yes/no question.,0
8,8,CT,AC,0.156862745098039,Correct provide correct verbal form in place of erroneous one.,Answer calls/ show attentiveness to communications.,0
9,12,CT,MK,0.058823529411765,Correct provide correct verbal form in place of erroneous one.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
10,14,CT,QN,0.07843137254902,Correct provide correct verbal form in place of erroneous one.,Ask a product-question (wh-question),1
11,16,CT,RT,0.254901960784314,Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.,1
12,19,CT,ST,0.07843137254902,Correct provide correct verbal form in place of erroneous one.,Make a declarative statement.,1
13,20,CT,YQ,0.058823529411765,Correct provide correct verbal form in place of erroneous one.,Ask a yes/no question.,1
14,21,CT,YY,0.058823529411765,Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function.,0
15,22,EQ,AA,0.130434782608696,Eliciting question (e.g. hmm?).,Answer in the affirmative to yes/no question.,0
16,25,EQ,AN,0.086956521739131,Eliciting question (e.g. hmm?).,Answer in the negative to yes/no question,0
17,30,EQ,SA,0.304347826086956,Eliciting question (e.g. hmm?).,Answer a wh-question with a statement.,1
18,32,EQ,ST,0.130434782608696,Eliciting question (e.g. hmm?).,Make a declarative statement.,1
19,41,MK,MK,0.216911764705882,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
20,43,MK,OO,0.051470588235294,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
21,46,MK,QN,0.0625,Mark occurrence of event (thank greet apologize congratulate etc.).,Ask a product-question (wh-question),1
22,48,MK,RP,0.095588235294118,Mark occurrence of event (thank greet apologize congratulate etc.).,Request propose or suggest an action for hearer or for hearer and speaker.,1
23,54,MK,SI,0.051470588235294,Mark occurrence of event (thank greet apologize congratulate etc.).,State intent to carry out act by speaker.,1
24,55,MK,ST,0.246323529411765,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a declarative statement.,1
25,59,MK,YY,0.099264705882353,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
26,87,QN,SA,0.699721964782206,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
27,98,RP,AD,0.211442786069652,Request propose or suggest an action for hearer or for hearer and speaker.,Agree to carry out an act requested or proposed by other.,1
28,107,RP,MK,0.057213930348259,Request propose or suggest an action for hearer or for hearer and speaker.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
29,112,RP,QN,0.064676616915423,Request propose or suggest an action for hearer or for hearer and speaker.,Ask a product-question (wh-question),0
