,source,target,fraction,source_description,target_description
0,YQTQ,AA,0.7282157676348547,Ask a yes/no question. | Ask a limited-alternative yes/no question.,Answer in the affirmative to yes/no question.
1,YQTQ,AN,0.15975103734439833,Ask a yes/no question. | Ask a limited-alternative yes/no question.,Answer in the negative to yes/no question
2,YQTQ,STAPDWTXCT,0.11203319502074689,Ask a yes/no question. | Ask a limited-alternative yes/no question.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
3,STAPDWTXCT,AC,0.0958904109589041,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Answer calls; show attentiveness to communications.
4,STAPDWTXCT,MKTOXA,0.0821917808219178,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.
5,STAPDWTXCT,QN,0.10616438356164383,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Ask a product-question (wh-question)
6,STAPDWTXCT,RPCS,0.09075342465753425,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.
7,STAPDWTXCT,RT,0.0839041095890411,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.
8,STAPDWTXCT,STAPDWTXCT,0.3544520547945205,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
9,STAPDWTXCT,YYOO,0.18664383561643835,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function. | Unintelligible vocalization.
10,RPCS,ADALGI,0.41509433962264153,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.
11,RPCS,STAPDWTXCT,0.33962264150943394,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
12,RPCS,YYOO,0.24528301886792453,Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.,Make a word-like utterance without clear function. | Unintelligible vocalization.
13,RQ,ADALGI,1.0,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.
14,MKTOXA,MKTOXA,0.3617021276595745,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.
15,MKTOXA,STAPDWTXCT,0.3882978723404255,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
16,MKTOXA,YYOO,0.25,Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.,Make a word-like utterance without clear function. | Unintelligible vocalization.
17,QN,MKTOXA,0.05172413793103448,Ask a product-question (wh-question),Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.
18,QN,SA,0.867816091954023,Ask a product-question (wh-question),Answer a wh-question with a statement.
19,QN,YYOO,0.08045977011494253,Ask a product-question (wh-question),Make a word-like utterance without clear function. | Unintelligible vocalization.
20,AC,STAPDWTXCT,1.0,Answer calls; show attentiveness to communications.,Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.
