"source","target","fraction","source_description","target_description","contingency"
"AQ","AA",0.333333333333333,"Aggravated question expression of disapproval by restating a question","Answer in the affirmative to yes/no question.",1
"AQ","SA",0.333333333333333,"Aggravated question expression of disapproval by restating a question","Answer a wh-question with a statement.",1
"AQ","SI",0.333333333333333,"Aggravated question expression of disapproval by restating a question","State intent to carry out act by speaker.",0
"CMEMED","AA",0.25,"Commiserate express sympathy for hearer's distress. | Exclaim in distress pain. | Exclaim in disapproval.","Answer in the affirmative to yes/no question.",0
"CMEMED","PF",0.25,"Commiserate express sympathy for hearer's distress. | Exclaim in distress pain. | Exclaim in disapproval.","Prohibit/forbid/protest hearer's performance of an act",0
"CMEMED","QN",0.25,"Commiserate express sympathy for hearer's distress. | Exclaim in distress pain. | Exclaim in disapproval.","Ask a product-question (wh-question)",1
"CMEMED","STAPDWTXCT",0.25,"Commiserate express sympathy for hearer's distress. | Exclaim in distress pain. | Exclaim in disapproval.","Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.",1
"EQ","AA",0.130434782608696,"Eliciting question (e.g. hmm?).","Answer in the affirmative to yes/no question.",0
"EQ","AC",0.043478260869565,"Eliciting question (e.g. hmm?).","Answer calls; show attentiveness to communications.",1
"EQ","ADALGI",0.043478260869565,"Eliciting question (e.g. hmm?).","Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.",0
"EQ","AN",0.086956521739131,"Eliciting question (e.g. hmm?).","Answer in the negative to yes/no question",0
"EQ","MKTOXA",0.043478260869565,"Eliciting question (e.g. hmm?).","Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.",0
"EQ","QN",0.043478260869565,"Eliciting question (e.g. hmm?).","Ask a product-question (wh-question)",1
"EQ","RPCS",0.043478260869565,"Eliciting question (e.g. hmm?).","Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.",1
"EQ","SA",0.304347826086956,"Eliciting question (e.g. hmm?).","Answer a wh-question with a statement.",1
"EQ","SI",0.043478260869565,"Eliciting question (e.g. hmm?).","State intent to carry out act by speaker.",1
"EQ","STAPDWTXCT",0.130434782608696,"Eliciting question (e.g. hmm?).","Make a declarative statement. | Agree with proposition or proposal expressed by previous speaker | Disagree with proposition expressed by previous speaker. | Read or recite written text aloud. | Correct provide correct verbal form in place of erroneous one.",1
"EQ","YYOO",0.086956521739131,"Eliciting question (e.g. hmm?).","Make a word-like utterance without clear function. | Unintelligible vocalization.",0
"MKTOXA","AA",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Answer in the affirmative to yes/no question.",0
"MKTOXA","AC",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Answer calls; show attentiveness to communications.",1
"MKTOXA","ADALGI",0.009836065573771,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Agree to carry out an act requested or proposed by other. | Agree to do something for the last time. | Give in; accept other's insistence or refusal.",0
"MKTOXA","CL",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Call attention to hearer by name or by substitute exclamations",1
"MKTOXA","CMEMED",0.00327868852459,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Commiserate express sympathy for hearer's distress. | Exclaim in distress pain. | Exclaim in disapproval.",1
"MKTOXA","CXSC",0.00327868852459,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Complete text if so demanded. | Complete statement or other utterance in compliance with request",0
"MKTOXA","DC",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Create a new state of affairs by declaration",1
"MKTOXA","FP",0.009836065573771,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Ask for permission to carry out act.",1
"MKTOXA","MKTOXA",0.222950819672131,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.",1
"MKTOXA","ND",0.00327868852459,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Disagree with a declaration.",0
"MKTOXA","PF",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Prohibit/forbid/protest hearer's performance of an act",1
"MKTOXA","PRCN",0.026229508196721,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Perform verbal move in game. | Count.",1
"MKTOXA","QN",0.068852459016394,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Ask a product-question (wh-question)",1
"MKTOXA","RD",0.00327868852459,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Refuse to carry out an act requested or proposed by other.",0
"MKTOXA","RPCS",0.098360655737705,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Request propose or suggest an action for hearer or for hearer and speaker. | Counter-suggestion; an indirect refusal.",1
"MKTOXA","RQ",0.00655737704918,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Yes/no question or suggestion about hearer's wishes and intentions",1
"MKTOXA","RR",0.00327868852459,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Request to repeat utterance.",1
"MKTOXA","RT",0.016393442622951,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Repeat or imitate other's utterance.",1
"MKTOXA","SA",0.016393442622951,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","Answer a wh-question with a statement.",0
"MKTOXA","SI",0.065573770491803,"Mark occurrence of event (thank greet apologize congratulate etc.). | Mark transfer of object to hearer | Exhibit attentiveness to hearer.","State intent to carry out act by speaker.",1
