,Unnamed: 0,Unnamed: 0.1,source,target,fraction,source_description,target_description,contingency
0,0,0,AQ,AA,0.142857142857143,Aggravated question expression of disapproval by restating a question,Answer in the affirmative to yes/no question.,1
1,1,1,AQ,OO,0.142857142857143,Aggravated question expression of disapproval by restating a question,Unintelligible vocalization.,0
2,2,2,AQ,SA,0.428571428571429,Aggravated question expression of disapproval by restating a question,Answer a wh-question with a statement.,1
3,3,3,AQ,ST,0.142857142857143,Aggravated question expression of disapproval by restating a question,Make a declarative statement.,0
4,4,4,AQ,YY,0.142857142857143,Aggravated question expression of disapproval by restating a question,Make a word-like utterance without clear function.,0
5,5,5,DW,AA,0.052631578947369,Disagree with proposition expressed by previous speaker.,Answer in the affirmative to yes/no question.,0
6,6,6,DW,MK,0.052631578947369,Disagree with proposition expressed by previous speaker.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
7,7,7,DW,RT,0.157894736842105,Disagree with proposition expressed by previous speaker.,Repeat or imitate other's utterance.,1
8,8,8,DW,SA,0.421052631578947,Disagree with proposition expressed by previous speaker.,Answer a wh-question with a statement.,0
9,9,9,DW,ST,0.105263157894737,Disagree with proposition expressed by previous speaker.,Make a declarative statement.,1
10,10,10,DW,YA,0.052631578947369,Disagree with proposition expressed by previous speaker.,Answer a question with a yes/no question.,0
11,11,11,DW,YY,0.157894736842105,Disagree with proposition expressed by previous speaker.,Make a word-like utterance without clear function.,0
12,12,17,MK,MK,0.063291139240506,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
13,13,18,MK,OO,0.059071729957806,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
14,14,23,MK,RP,0.122362869198312,Mark occurrence of event (thank greet apologize congratulate etc.).,Request propose or suggest an action for hearer or for hearer and speaker.,1
15,15,27,MK,SI,0.054852320675106,Mark occurrence of event (thank greet apologize congratulate etc.).,State intent to carry out act by speaker.,1
16,16,28,MK,ST,0.19831223628692,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a declarative statement.,1
17,17,31,MK,YY,0.286919831223629,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
18,18,51,QN,SA,0.561659192825112,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
19,19,53,QN,ST,0.050448430493274,Ask a product-question (wh-question),Make a declarative statement.,0
20,20,58,QN,YY,0.196188340807175,Ask a product-question (wh-question),Make a word-like utterance without clear function.,0
21,21,61,RP,AD,0.090322580645161,Request propose or suggest an action for hearer or for hearer and speaker.,Agree to carry out an act requested or proposed by other.,1
22,22,73,RP,RD,0.140322580645161,Request propose or suggest an action for hearer or for hearer and speaker.,Refuse to carry out an act requested or proposed by other.,1
23,23,74,RP,RP,0.061290322580645,Request propose or suggest an action for hearer or for hearer and speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
24,24,80,RP,ST,0.098387096774194,Request propose or suggest an action for hearer or for hearer and speaker.,Make a declarative statement.,0
25,25,83,RP,YY,0.279032258064516,Request propose or suggest an action for hearer or for hearer and speaker.,Make a word-like utterance without clear function.,0
26,26,86,RQ,AD,0.368983957219251,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other.,0
27,27,96,RQ,RD,0.192513368983957,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.,0
28,28,106,RQ,YY,0.165775401069519,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function.,0
29,29,120,ST,RP,0.080279232111693,Make a declarative statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
